,YearsExperience,Salary,category
0,1.1,39343.0,1
1,1.3,46205.0,1
2,1.5,37731.0,1
3,2.0,43525.0,1
4,2.2,39891.0,1
5,2.9,56642.0,1
6,3.0,60150.0,1
7,3.2,54445.0,1
8,3.2,64445.0,1
9,3.7,57189.0,1
10,3.9,63218.0,1
11,4.0,55794.0,1
12,4.0,56957.0,1
13,4.1,57081.0,1
14,4.5,61111.0,1
15,4.9,67938.0,1
16,5.1,66029.0,1
17,5.3,83088.0,2
18,5.9,81363.0,2
19,6.0,93940.0,2
20,6.8,91738.0,2
21,7.1,98273.0,2
22,7.9,101302.0,2
23,8.2,113812.0,0
24,8.7,109431.0,0
25,9.0,105582.0,0
26,9.5,116969.0,0
27,9.6,112635.0,0
28,10.3,122391.0,0
29,10.5,121872.0,0
